Name,Symbol,MarketCap,price (USD),Ticker
Allied Properties REIT,AP-UN.TO,1.52,10.8753,AP-UN.TO
Pet Valu,PET.TO,1.52,21.6219,PET.TO
TMC the metals company,TMC,1.51,3.14,TMC.TO
Andlauer Healthcare Group,AND.TO,1.5,38.3069,AND.TO
Discovery Silver Corp.,DSV.TO,1.42,1.77439,DSV.TO
Ero Copper,ERO,1.41,13.62,ERO.TO
Freehold Royalties,FRU.TO,1.41,8.58578,FRU.TO
Sprott Inc,SII,1.41,54.3,SII.TO
Denison Mines,DNN,1.4,1.54,DNN.TO
Imax Corp,IMAX,1.39,25.93,IMAX.TO
DeFi Technologies,DEFI.NE,1.39,4.25712,DEFI.NE.TO
Centerra Gold,CGAU,1.38,6.64,CGAU.TO
Richelieu Hardware,RCH.TO,1.36,24.6197,RCH.TO
Baytex Energy,BTE,1.36,1.75,BTE.TO
Allied Gold Corporation,AAUC.TO,1.35,3.91368,AAUC.TO
Skeena Resources,SKE,1.32,11.54,SKE.TO
Labrador Iron Ore Royalty Corp.,LIF.TO,1.29,20.2195,LIF.TO
Primaris Real Estate Investment Trust,PMZ-UN.TO,1.29,10.6464,PMZ-UN.TO
Advantage Energy,AAV.TO,1.29,7.70574,AAV.TO
Mainstreet Equity,MEQ.TO,1.29,137.959,MEQ.TO
Trisura Group,TSU.TO,1.27,26.6946,TSU.TO
dentalcorp,DNTL.TO,1.26,6.38925,DNTL.TO
Birchcliff Energy,BIR.TO,1.25,4.57908,BIR.TO
Leon's Furniture,LNF.TO,1.22,17.93,LNF.TO
InterRent Real Estate Investment Trust,IIP-UN.TO,1.21,8.10641,IIP-UN.TO
NFI Group,NFI.TO,1.21,10.167,NFI.TO
Transcontinental,TCL-A.TO,1.2,14.3168,TCL-A.TO
Superior Plus,SPB.TO,1.18,5.07276,SPB.TO
Seabridge Gold,SA,1.17,11.71,SA.TO
Cymbria,CYB.TO,1.17,53.5896,CYB.TO
NovaGold Resources,NG,1.16,3.46,NG.TO
Canfor,CFP.TO,1.16,9.8021,CFP.TO
Sienna Senior Living,SIA.TO,1.16,12.571,SIA.TO
Aurinia Pharmaceuticals,AUPH,1.11,8.12,AUPH.TO
Foran Mining,FOM.TO,1.1,2.61151,FOM.TO
Softchoice,SFTC.TO,1.06,17.5221,SFTC.TO
Badger Infrastructure Solutions,BDGI.TO,1.06,31.2665,BDGI.TO
Cargojet,CJT.TO,1.06,67.9851,CJT.TO
Headwater Exploration,HWX.TO,1.05,4.42168,HWX.TO
Lassonde Industries,LAS-A.TO,1.05,153.829,LAS-A.TO
Vermilion Energy,VET,1.04,6.66,VET.TO
Enghouse Systems,ENGH.TO,1.02,18.5667,ENGH.TO
StorageVault Canada,SVI.TO,1.02,2.79753,SVI.TO
Jamieson Wellness,JWEL.TO,1.02,24.2548,JWEL.TO
Savaria Corporation,SIS.TO,1.01,14.1522,SIS.TO
